variable,statistic,value
ret_eth_perp,N,40582
ret_eth_perp,mean,0.0005194348696987027
ret_eth_perp,std,0.8116649981339421
ret_eth_perp,min,-15.462208483716644
ret_eth_perp,p1,-2.460917754574586
ret_eth_perp,p5,-1.1701910413445171
ret_eth_perp,p25,-0.30411493016453406
ret_eth_perp,p50,0.005435123949260046
ret_eth_perp,p75,0.3219630908928517
ret_eth_perp,p95,1.155801595049896
ret_eth_perp,p99,2.3342584636399035
ret_eth_perp,max,9.173175770063313
ret_eth_perp,skew,-0.6281731947274076
ret_eth_perp,excess_kurt,17.582558768885136
ret_btc_spot,N,40582
ret_btc_spot,mean,0.0009022253308897871
ret_btc_spot,std,0.6087300165073247
ret_btc_spot,min,-10.91705171405426
ret_btc_spot,p1,-1.8592654552806902
ret_btc_spot,p5,-0.868443650189139
ret_btc_spot,p25,-0.22519914607364022
ret_btc_spot,p50,0.00414488847262362
ret_btc_spot,p75,0.2380677131620157
ret_btc_spot,p95,0.8509538630146356
ret_btc_spot,p99,1.7968218119495714
ret_btc_spot,max,6.236338747665293
ret_btc_spot,skew,-0.3694217791323203
ret_btc_spot,excess_kurt,14.966690109746523
vol_eth_7d,N,40582
vol_eth_7d,mean,0.738326598124725
vol_eth_7d,std,0.33839103883205846
vol_eth_7d,min,0.1475564753681934
vol_eth_7d,p1,0.24011564909387192
vol_eth_7d,p5,0.3243550636333995
vol_eth_7d,p25,0.5334039502493515
vol_eth_7d,p50,0.6705901233012923
vol_eth_7d,p75,0.8673563574896249
vol_eth_7d,p95,1.3673612676396731
vol_eth_7d,p99,1.9365185227684325
vol_eth_7d,max,3.1725599768419896
funding_rate,N,40582
funding_rate,mean,8.190805578828053e-05
funding_rate,std,0.00016483952948801887
funding_rate,min,-0.0034595
funding_rate,p1,-0.00021234
funding_rate,p5,-7.254e-05
funding_rate,p25,2.951e-05
funding_rate,p50,0.0001
funding_rate,p75,0.0001
funding_rate,p95,0.00029984649999999864
funding_rate,p99,0.0006635394000000052
funding_rate,max,0.00173118
basis_bps,N,40582
basis_bps,mean,-3.650496533675694
basis_bps,std,9.25183548916357
basis_bps,min,-384.20129196905793
basis_bps,p1,-27.64993396807026
basis_bps,p5,-13.882271413905773
basis_bps,p25,-7.867894074969586
basis_bps,p50,-4.3247024563216545
basis_bps,p75,0.7623886019073479
basis_bps,p95,9.447270563308068
basis_bps,p99,14.967765050259015
basis_bps,max,217.4084423149351
oi,N,40582
oi,mean,496561.5829727459
oi,std,331949.1257773717
oi,min,23189.6
oi,p1,33206.8029999981
oi,p5,54246.733
oi,p25,155713.1325
oi,p50,489014.69
oi,p75,713888.265
oi,p95,1091807.7884999996
oi,p99,1178587.2461
oi,max,1263195.04
log_liq,N,40582
log_liq,mean,1.7497965584978918
log_liq,std,3.2965531170402045
log_liq,min,0.0
log_liq,p1,0.0
log_liq,p5,0.0
log_liq,p25,0.0
log_liq,p50,0.0
log_liq,p75,2.608968489212991
log_liq,p95,9.161316931914039
log_liq,p99,13.220695978458943
log_liq,max,19.050046298567487
log_liq,n_nonzero,10953
log_liq,pct_nonzero,26.99
liq_usd_total,sum_total_usd,2517175401.8446536
liq_usd_total,mean_nonzero_usd,229816.06882540433
liq_usd_total,sum_2021_usd,373897353.27101433
liq_usd_total,sum_2022_usd,395167148.64887327
liq_usd_total,sum_2023_usd,91442785.54105811
liq_usd_total,sum_2024_usd,669851938.2441818
liq_usd_total,sum_2025_usd,986816176.1395262
sample,first_obs,2021-03-15 00:00:00+00:00
sample,last_obs,2025-11-30 23:00:00+00:00
sample,N_total,41328
sample,N_after_warmup,40582
sample,warmup_rows,746
oi_high,pct_high,34.94
tail_asymmetry,n_below_minus5,50
tail_asymmetry,n_above_plus5,25
tail_asymmetry,ratio_far5,2.0
tail_asymmetry,n_below_minus7,13
tail_asymmetry,n_above_plus7,6
tail_asymmetry,ratio_far7,2.1666666666666665
tail_asymmetry,q_ratio_p1_p99,1.0542610396010637
tail_asymmetry,q_ratio_p5_p95,1.0124497546605304
tail_asymmetry,min,-15.462208483716644
tail_asymmetry,max,9.173175770063313
z3,N,40582
z3,z_mean,0.001036746200753387
z3,z_std,1.0180848314433393
z3,z_skew,-0.2547996905229376
z3,z3_mean,-0.26563168129920095
z3,z3_mean_winsor,-0.10527475857762886
z3,winsor_lo_p1,-2.9841949468304483
z3,winsor_hi_p99,2.789635840650405
liq_crosstab,p_liq_all,26.98979843280272
liq_crosstab,n_all,40582
liq_crosstab,p_liq_worst1,85.4679802955665
liq_crosstab,p_liq_best1,41.6256157635468
liq_crosstab,n_worst1,406
liq_crosstab,n_best1,406
liq_crosstab,p_liq_worst5,68.17733990147784
liq_crosstab,p_liq_best5,33.15270935960591
liq_crosstab,n_worst5,2030
liq_crosstab,n_best5,2030
anchor_std_ret_eth_perp,value,0.8117
anchor_std_ret_eth_perp,anchor_estimate,0.8
anchor_std_ret_eth_perp,deviation_pct,1.5
anchor_std_ret_eth_perp,anchor_discrepancy,False
anchor_cumulative_liq_usd,value_bn,2.517
anchor_cumulative_liq_usd,anchor_estimate_bn,2.5
anchor_cumulative_liq_usd,deviation_pct,0.7
anchor_cumulative_liq_usd,anchor_discrepancy,False
