mult,target_delta,gamma,object,h,estimate,ci_lo,ci_hi,pval,flagged,n_sim,n_obs
0.5,0.00054577306266765,0.00014648437500000002,detected_any,0,0.0,,,,0.0,300,300
0.5,0.00054577306266765,0.00014648437500000002,exceedance_delta,0,0.0005396427724366042,4.019423967437605e-05,0.0009618312059732311,0.02666666666666667,1.0,300,300
0.5,0.00054577306266765,0.00014648437500000002,mde_tost,0,0.00026399857843437493,-0.00027107411319878357,0.0008777847541839042,,0.0,300,40582
0.5,0.00054577306266765,0.00014648437500000002,mde_tost_mc_calib_check,0,0.0005396427724366042,4.019423967437605e-05,0.0009618312059732311,,,300,300
0.5,0.00054577306266765,0.00014648437500000002,placebo_gap,0,-0.0004128567256452856,-0.01752747571276901,0.01815674337089969,,0.0,300,300
0.5,0.00054577306266765,0.00014648437500000002,selfcheck_beta_down_plant,0,0.0014408977652986717,0.0010821175574496486,0.0017694267794408085,,,300,300
0.5,0.00054577306266765,0.00014648437500000002,selfcheck_beta_up_plant,0,0.0009012549928620674,0.0005901203976784843,0.0011924542155429332,,,300,300
0.5,0.00054577306266765,0.00014648437500000002,skew_tail01,0,0.0008588444162388553,0.00039111169486695936,0.001280864761149032,0.0,1.0,300,40582
1.0,0.0010915461253353,0.015625,detected_any,0,0.0,,,,0.0,300,300
1.0,0.0010915461253353,0.015625,exceedance_delta,0,0.000987507223828605,0.00045391276660891914,0.0015398117275568577,0.0,1.0,300,300
1.0,0.0010915461253353,0.015625,mde_tost,0,0.0009298381731084785,0.0002931335499019363,0.001553634204853942,,0.0,300,40582
1.0,0.0010915461253353,0.015625,mde_tost_mc_calib_check,0,0.000987507223828605,0.00045391276660891914,0.0015398117275568577,,,300,300
1.0,0.0010915461253353,0.015625,placebo_gap,0,0.04975469515146249,-0.019636804164457317,0.016080130989767547,,1.0,300,300
1.0,0.0010915461253353,0.015625,selfcheck_beta_down_plant,0,0.0018443437687278752,0.0014471836186247494,0.0022350254588693,,,300,300
1.0,0.0010915461253353,0.015625,selfcheck_beta_up_plant,0,0.0008568365448992704,0.0005417726133406207,0.001174668434118411,,,300,300
1.0,0.0010915461253353,0.015625,skew_tail01,0,0.001243018260531849,0.0007850197332946244,0.001718591638338006,0.0,1.0,300,40582
2.0,0.0021830922506706,0.0587890625,detected_any,0,1.0,,,,1.0,300,300
2.0,0.0021830922506706,0.0587890625,exceedance_delta,0,0.0021809671508011977,0.001601661526472543,0.0027828086402602774,0.0,1.0,300,300
2.0,0.0021830922506706,0.0587890625,mde_tost,0,0.002439833946445712,0.0017830353477175588,0.003076894676829019,,1.0,300,40582
2.0,0.0021830922506706,0.0587890625,mde_tost_mc_calib_check,0,0.0021809671508011977,0.001601661526472543,0.0027828086402602774,,,300,300
2.0,0.0021830922506706,0.0587890625,placebo_gap,0,0.17771195129694375,-0.01940253914763871,0.016383129050746376,,1.0,300,300
2.0,0.0021830922506706,0.0587890625,selfcheck_beta_down_plant,0,0.002962333313604902,0.0024829113826944867,0.0034664338296221324,,,300,300
2.0,0.0021830922506706,0.0587890625,selfcheck_beta_up_plant,0,0.0007813661628037045,0.00047675176804886087,0.0011106874641915762,,,300,300
2.0,0.0021830922506706,0.0587890625,skew_tail01,0,0.0020975544192027035,0.0016240563528782557,0.0025675813500519334,0.0,1.0,300,40582
