h,true_abs_beta,artifact_beta_mean,artifact_beta_sd,ratio,n_seeds,true_beta,artifact_beta_signed_mean,artifact_beta_signed_sd,null_q025,null_q975,perm_pval_abs
0,0.03217347612399912,0.005682912260115586,0.004361099449001116,0.17663345540323938,500,-0.03217347612399912,-0.0004910060582414751,0.007151071982241704,-0.015838877247858495,0.012586566333915302,0.0
1,0.08682350672926376,0.008225639801097131,0.006323197146405356,0.094739778557282,500,-0.08682350672926376,-0.0005949347569531733,0.010364598839249093,-0.021619791300735835,0.017862314591635762,0.0
2,0.12069279188513526,0.009098342959541995,0.0072699351830832135,0.07538431100509295,500,-0.12069279188513526,-0.0007481266227790411,0.0116291392017631,-0.026326752598591293,0.020873145979413726,0.0
3,0.10509403258804895,0.010651671709186723,0.008048302206549918,0.10135372529608315,500,-0.10509403258804895,0.00041197304430467933,0.013352549856020404,-0.026546754529305848,0.02496295478174496,0.0
4,0.15963525661058142,0.012050408221090254,0.009016096631570348,0.07548713534182706,500,-0.15963525661058142,0.000531511354629773,0.01505025823677724,-0.03127188799736944,0.027986876712303887,0.0
6,0.15954378718214457,0.015046974861144893,0.01154321142709442,0.09431250897890735,500,-0.15954378718214457,-3.843223376300159e-05,0.018976549551792062,-0.03582326929547381,0.036468157344462286,0.0
8,0.18962770196354928,0.017555527758961298,0.01331344281108468,0.09257891952060816,500,-0.18962770196354928,-0.00041882085922787237,0.02204282605087671,-0.048324970426675835,0.04236671975526486,0.0
12,0.2411159786718926,0.019890015274155914,0.015260936840576559,0.0824914855652183,500,-0.2411159786718926,-0.0015396188057730893,0.025038501062874738,-0.052514592219077436,0.043110476769398984,0.0
18,0.23191709825935192,0.024713391661937967,0.020294394076068575,0.10656131802020516,500,-0.23191709825935192,-0.0046110818548319304,0.031662808221417364,-0.0704948637259757,0.050400238767106226,0.0
24,0.21309558149341967,0.02907799004966914,0.023913555052826104,0.13645515240571546,500,-0.21309558149341967,-0.005067768496242657,0.037327581270129466,-0.08302851769112848,0.05987498566520199,0.0
