tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs,pval_shock_bonf_table,pval_interaction_bonf_table,pval_shock_bonf_tail,pval_interaction_bonf_tail
0.01,0,-0.0321734761239991,0.005695406237804,1.6244122405031527e-08,-0.0221828430203157,0.0096373406936343,0.0213537641245806,40582,1.949294688603783e-07,0.25624516949496723,9.746473443018916e-08,0.12812258474748361
0.01,1,-0.0868235067292637,0.0128408530495748,1.3841054894743988e-11,-0.0198735182707086,0.0230331031730691,0.3882392445662445,40581,1.6609265873692785e-10,1.0,8.304632936846393e-11,1.0
0.01,3,-0.1050940325880489,0.0229489717324755,4.675482126537914e-06,-0.065342672659364,0.0398755444645767,0.1012907301083981,40579,5.6105785518454975e-05,1.0,2.8052892759227488e-05,0.6077443806503886
0.01,6,-0.1595437871821445,0.0344070317450147,3.546836617266408e-06,-0.0646566632300391,0.0565803654753307,0.2531531804472254,40576,4.25620394071969e-05,1.0,2.128101970359845e-05,1.0
0.01,12,-0.2411159786717416,0.0404052058089494,2.429877391596205e-09,0.0519932051788565,0.0662723597357807,0.4327288929079812,40570,2.915852869915446e-08,1.0,1.457926434957723e-08,1.0
0.01,24,-0.2130955814934196,0.0464596769251078,4.516995079288034e-06,-0.1435270075733434,0.0759382319345333,0.0587584823013743,40558,5.420394095145641e-05,0.7051017876164916,2.7101970475728205e-05,0.3525508938082458
0.5,0,0.0017120915835327,0.0005482134251494,0.0017912025704593,-0.0005099680691634,0.000952755405049,0.5924757649823215,40582,0.0214944308455116,1.0,,
0.5,1,0.0055950806810295,0.0011263453883815,6.810924862318565e-07,-0.0018338718172405,0.0019575015869891,0.3488448576420722,40581,8.173109834782279e-06,1.0,,
0.5,3,0.0100414494208288,0.0017189778988614,5.211955479216056e-09,-0.009576342440002,0.0029873189967602,0.00134855325734,40579,6.254346575059267e-08,0.01618263908808,,
0.5,6,0.0142974812984098,0.0023975792130001,2.492364456268078e-09,-0.0091128033624505,0.0041665984664338,0.0287402857807469,40576,2.990837347521694e-08,0.34488342936896277,,
0.5,12,0.0320073298643811,0.0035033695201726,6.761620618951744e-20,-0.0238419640242174,0.0060881710776573,9.013537813730298e-05,40570,8.113944742742093e-19,0.0010816245376476358,,
0.5,24,0.0377857923566555,0.0051816021926878,3.1026590808019305e-13,-0.0374783146784409,0.0090042513985939,3.157199585107978e-05,40558,3.723190896962316e-12,0.00037886395021295737,,
