tau,h,mean,median,ci_lo,ci_hi,n_success,pct_negative
0.01,0,-0.03758333102424886,-0.03475233241737108,-0.05971397565237797,-0.021906808862057762,1000.0,100.0
0.01,3,-0.11276363172332052,-0.10494067631814785,-0.19421198061702324,-0.056724971345601845,1000.0,100.0
0.01,6,-0.17093567027973805,-0.155584566075476,-0.39692058019534704,-0.040606003399867426,1000.0,99.8
0.01,12,-0.2555365324475109,-0.24235913435059908,-0.5358716099425702,-0.04872735300453204,1000.0,99.7
0.01,24,-0.19641776367890226,-0.19875064343259297,-0.3693350380992046,-0.019650611431294065,1000.0,98.8
0.05,0,-0.019113752804800568,-0.01907114011454414,-0.02493484233037387,-0.014239451837031793,1000.0,100.0
0.05,3,-0.04728100515671538,-0.045780532760268944,-0.07344356994812533,-0.02639949223986894,1000.0,100.0
0.05,6,-0.07489517189743174,-0.07441197505073371,-0.1122405578360907,-0.03763795340404317,1000.0,100.0
0.05,12,-0.10199118804485602,-0.10185942855417052,-0.17805635966438005,-0.04019712841501015,1000.0,99.9
0.05,24,-0.11712553913279235,-0.11533375978805793,-0.20470012059157378,-0.0431739273559682,1000.0,99.9
0.95,0,0.01873030369412012,0.018904329311691115,0.01239291852631165,0.023631185591293673,1000.0,0.0
0.95,3,0.044553845637708304,0.04405519088801402,0.0268103089876676,0.0635785779780654,1000.0,0.0
0.95,6,0.04209686370103705,0.04096081028402421,0.01625446876575607,0.0757814753739894,1000.0,0.0
0.95,12,0.07917214179072216,0.07900897998366929,0.039924620149283406,0.11821081313746333,1000.0,0.0
0.95,24,0.12112574640768256,0.1179479024148069,0.05012333700314902,0.19787085028141224,1000.0,0.0
0.99,0,0.017964190909708726,0.018121897454083158,0.0027519288252519816,0.03254163237666818,1000.0,0.8
0.99,3,0.05897790792406182,0.056831049724154425,0.014906996844909638,0.12043857148972381,1000.0,0.8
0.99,6,0.08850215658760695,0.08927765330181359,0.0071567985789989606,0.1676243199647814,1000.0,1.4000000000000001
0.99,12,0.09358964559276228,0.09186130592636865,0.025280823082031258,0.1651060251903385,1000.0,0.6
0.99,24,0.1601972698694583,0.15997734549965636,0.04976530899811662,0.28289189224608746,1000.0,0.0
