period_dropped,tau,h,beta,se,pval,n_obs
ftx,0.01,0,-0.03279960431789386,0.005769143411258452,1.3147231124496556e-08,39117
ftx,0.01,1,-0.08955521525698984,0.012801009428619437,2.6769648704350607e-12,39116
ftx,0.01,6,-0.15832916142650788,0.03431377501217377,3.959440813877258e-06,39111
ftx,0.01,12,-0.24248172792666267,0.03977089188043716,1.0911136665103692e-09,39105
ftx,0.01,24,-0.18369812266914654,0.05114051528495286,0.0003285180170096819,39093
ftx,0.5,0,0.0015473712036685495,0.0005583385025617147,0.005584467594509276,39117
ftx,0.5,1,0.005602248800743226,0.0011435751042905673,9.67640893458311e-07,39116
ftx,0.5,6,0.013669695766699519,0.0024393320180967825,2.1102853045883563e-08,39111
ftx,0.5,12,0.030529567412660025,0.0035753404611761565,1.4028366499863444e-17,39105
ftx,0.5,24,0.03542647623227202,0.005210884542437516,1.0719042714783215e-11,39093
none,0.01,0,-0.03217347612399912,0.0056954062378040335,1.6244122405031527e-08,40582
none,0.01,1,-0.08682350672926376,0.012840853049574894,1.3841054894743988e-11,40581
none,0.01,6,-0.15954378718214457,0.03440703174501477,3.546836617266408e-06,40576
none,0.01,12,-0.2411159786718926,0.04040520580895467,2.4298773915522e-09,40570
none,0.01,24,-0.21309558149341967,0.046459676925107815,4.516995079288034e-06,40558
none,0.5,0,0.0017120915835327766,0.0005482134251494406,0.0017912025704593043,40582
none,0.5,1,0.005595080681029541,0.0011263453883815083,6.810924862318565e-07,40581
none,0.5,6,0.014297481298409812,0.0023975792130001253,2.4923644562680786e-09,40576
none,0.5,12,0.03200732986443444,0.0035033695201724916,6.761620617983826e-20,40570
none,0.5,24,0.037785792357894143,0.005181602192687603,3.102659075295519e-13,40558
terra,0.01,0,-0.033480802432706014,0.00589598621983663,1.3678210140160688e-08,39117
terra,0.01,1,-0.08358068035122557,0.012693769622278465,4.625396079388149e-11,39116
terra,0.01,6,-0.13575581614542642,0.032268993309344636,2.593535872587309e-05,39111
terra,0.01,12,-0.27283890421528234,0.04486664325121606,1.2045873318740602e-09,39105
terra,0.01,24,-0.2058748394606198,0.05007963464391605,3.9483963367781965e-05,39093
terra,0.5,0,0.0015264727413380474,0.0005614011610573057,0.006550038265981508,39117
terra,0.5,1,0.005633813035459262,0.0011400829885611298,7.781113653884424e-07,39116
terra,0.5,6,0.013991510466516338,0.002426535885509557,8.17638675454636e-09,39111
terra,0.5,12,0.030841094639426636,0.0035475655240886535,3.645462586616909e-18,39105
terra,0.5,24,0.03700015371683313,0.005220763518254541,1.3925044417932224e-12,39093
usdc,0.01,0,-0.02930714952115232,0.005848425195947818,5.43500474595314e-07,39165
usdc,0.01,1,-0.08366727265539176,0.013154338652637107,2.034032359101808e-10,39164
usdc,0.01,6,-0.16140567330583533,0.032899182709228814,9.329212432220327e-07,39159
usdc,0.01,12,-0.2625222297442633,0.040368220882575793,7.957936056288457e-11,39153
usdc,0.01,24,-0.22601838607897662,0.04771944086951123,2.1830922935903546e-06,39141
usdc,0.5,0,0.0017453563682428425,0.0005616118916542236,0.001886444099572936,39165
usdc,0.5,1,0.00560310238606454,0.0011440059698322662,9.730586028911225e-07,39164
usdc,0.5,6,0.014303626037008854,0.0024540026653114733,5.630058286195333e-09,39159
usdc,0.5,12,0.031211796960727956,0.0035869166300117467,3.3984859991047753e-18,39153
usdc,0.5,24,0.036432986869597006,0.00525362291869839,4.130073684281442e-12,39141
