shock_def,tau,h,beta_shock,se_shock,pval_shock,n_obs,iter_limit_hit
ORTH,0.01,0,-0.07259352301785393,0.008832216354502185,2.1092074870617476e-16,40581,False
ORTH,0.01,1,-0.12106336429109632,0.014740166833357458,2.2174205902175196e-16,40580,True
ORTH,0.01,3,-0.1616075180079118,0.024605379469446874,5.1619039900288534e-11,40578,False
ORTH,0.01,6,-0.19799739650685755,0.041387892045750094,1.7249112722690473e-06,40575,False
ORTH,0.01,12,-0.23877185837469267,0.03884545499197397,7.984048461442202e-10,40569,False
ORTH,0.01,24,-0.2572718208913258,0.0523113429570264,8.773474997988724e-07,40557,False
ORTH,0.5,0,0.0013248679237054181,0.0008200390159115347,0.106185198188477,40581,False
ORTH,0.5,1,0.0032181111631875703,0.001582851510348612,0.04204791121182643,40580,False
ORTH,0.5,3,0.004876288572224316,0.002433784513646834,0.04512141653571571,40578,False
ORTH,0.5,6,0.013172666597681529,0.0033487719313451637,8.382869673210533e-05,40575,False
ORTH,0.5,12,0.029934907013972945,0.005005707002017378,2.2478548860296835e-09,40569,False
ORTH,0.5,24,0.025227681116036904,0.007270448606661882,0.000521206022005031,40557,False
RAW,0.01,0,-0.04465142003915218,0.005260708803795348,2.1776273234026708e-17,40582,False
RAW,0.01,1,-0.09088900706145742,0.010683846443392084,1.8427490433993765e-17,40581,False
RAW,0.01,3,-0.13199873687125319,0.020272324550792635,7.538245085394957e-11,40579,False
RAW,0.01,6,-0.20468109746545382,0.026080135455704673,4.324839958494883e-15,40576,False
RAW,0.01,12,-0.22936147440674404,0.03210844697861688,9.26216110061946e-13,40570,False
RAW,0.01,24,-0.24821507171562018,0.04029313056944735,7.331925590273671e-10,40558,False
RAW,0.5,0,0.0015266248219562226,0.00045492695254078613,0.0007922032053825985,40582,False
RAW,0.5,1,0.005252952713655992,0.000934346353993966,1.8992947664857177e-08,40581,False
RAW,0.5,3,0.006965886710345995,0.001429154600307706,1.0970065059243745e-06,40579,False
RAW,0.5,6,0.010567273225450001,0.0019879684227936774,1.0685883587118482e-07,40576,False
RAW,0.5,12,0.023009506453003092,0.0029114078891634195,2.786021658659229e-15,40570,False
RAW,0.5,24,0.026591351708247862,0.004285356305211079,5.516608979511116e-10,40558,False
