subsample,object,h,estimate,ci_lo,ci_hi,pval,mde80,n_obs
first_half,beta_q01,0,-0.030199830009362216,,,,,20291
first_half,beta_q01,1,-0.09010064534455609,,,,,20291
first_half,beta_q01,3,-0.08937967587407236,,,,,20291
first_half,beta_q01,6,-0.1745770491077252,,,,,20291
first_half,beta_q01,12,-0.22945355390061906,,,,,20291
first_half,beta_q01,18,-0.23040618339342345,,,,,20291
first_half,beta_q01,24,-0.21376150290753415,,,,,20291
full,beta_q01,0,-0.03217347612399912,,,,,40582
full,beta_q01,1,-0.08682350672926376,,,,,40581
full,beta_q01,3,-0.10509403258804895,,,,,40579
full,beta_q01,6,-0.15954378718214457,,,,,40576
full,beta_q01,12,-0.2411159786718926,,,,,40570
full,beta_q01,18,-0.23191709825935192,,,,,40564
full,beta_q01,24,-0.21309558149341967,,,,,40558
loo_aug2024,beta_q01,0,-0.031634334149411636,,,,,40222
loo_aug2024,beta_q01,1,-0.07823092583771496,,,,,40221
loo_aug2024,beta_q01,3,-0.09058601537040922,,,,,40219
loo_aug2024,beta_q01,6,-0.12683531307789409,,,,,40216
loo_aug2024,beta_q01,12,-0.17087517870346858,,,,,40210
loo_aug2024,beta_q01,18,-0.16702821860635186,,,,,40204
loo_aug2024,beta_q01,24,-0.16541105281429225,,,,,40198
second_half,beta_q01,0,-0.036585336639888055,,,,,20291
second_half,beta_q01,1,-0.08594256644343545,,,,,20290
second_half,beta_q01,3,-0.1353699758082021,,,,,20288
second_half,beta_q01,6,-0.17370015998799815,,,,,20285
second_half,beta_q01,12,-0.29151705664269045,,,,,20279
second_half,beta_q01,18,-0.2536401659783607,,,,,20273
second_half,beta_q01,24,-0.09645828996040962,,,,,20267
first_half,delta_exceed_a01,0,0.0011892081995466637,0.00010171008586566805,0.0021858715268448107,0.022,0.0014886867435565305,20291
first_half,delta_exceed_a01,1,0.0007942641445408034,-0.0003225458250390579,0.0019194147186103981,0.165,0.00160140038832104,20290
first_half,delta_exceed_a01,3,-3.413911072145054e-05,-0.001096928706485705,0.0010673651276440102,0.945,0.0015459241672355108,20288
first_half,delta_exceed_a01,6,0.0004852228008667865,-0.0006740501201334732,0.0016049501358253876,0.416,0.0016278573256849004,20285
first_half,delta_exceed_a01,12,-5.116983362591569e-05,-0.0011011039831576473,0.0010909375325645172,0.926,0.0015657439398015457,20279
first_half,delta_exceed_a01,18,-0.000570552323411512,-0.0016807779382747535,0.0005939088345278032,0.314,0.0016247762662875407,20273
first_half,delta_exceed_a01,24,-0.001050088650815708,-0.0024604937756867594,0.00022789525982790167,0.11,0.0019202778825104718,20267
full,delta_exceed_a01,0,0.0005288825864826902,-8.64595734038206e-05,0.0011322750337924578,0.093,0.0008705247194259131,40582
full,delta_exceed_a01,1,0.00028946569612649025,-0.0003816626806102207,0.0009598318677063156,0.431,0.0009582103916546686,40581
full,delta_exceed_a01,3,-0.00023442885856123563,-0.0008530780547017474,0.0003402711142715303,0.44,0.0008523922635523411,40579
full,delta_exceed_a01,6,0.00014983765968686709,-0.0006105867476476004,0.0008657648096113725,0.703,0.001054536826613552,40576
full,delta_exceed_a01,12,-7.154820074985863e-05,-0.0008924239935384125,0.000681818597566274,0.858,0.0011244589936462047,40570
full,delta_exceed_a01,18,-0.0006027651483185394,-0.0012174721068010114,3.061265868223421e-05,0.061,0.0008914891182023182,40564
full,delta_exceed_a01,24,-0.0004415431964155561,-0.001185368483109763,0.0002685288873397185,0.242,0.0010384981217496296,40558
loo_aug2024,delta_exceed_a01,0,0.0006531218631787446,-4.316284782132044e-05,0.0012905530355141422,0.055,0.0009526542023824732,40222
loo_aug2024,delta_exceed_a01,1,0.00033869537852912707,-0.00034580701301352727,0.0010178044866309193,0.331,0.0009740082140317476,40221
loo_aug2024,delta_exceed_a01,3,-0.0001928924231912253,-0.0008359727606815898,0.0003851207653895022,0.53,0.0008722096614793514,40219
loo_aug2024,delta_exceed_a01,6,0.00013010047183436473,-0.0006048887219774105,0.0009146522056002866,0.75,0.0010853863768412121,40216
loo_aug2024,delta_exceed_a01,12,-1.8971458914564883e-05,-0.0007587914874104601,0.0007364899613569285,0.958,0.0010680581776909917,40210
loo_aug2024,delta_exceed_a01,18,-0.00046446464966601417,-0.001143537688971342,0.00020970390304787492,0.194,0.0009666011371565835,40204
loo_aug2024,delta_exceed_a01,24,-0.00043042227767440655,-0.0011593980589040952,0.00028250015320058816,0.271,0.001029927294360488,40198
second_half,delta_exceed_a01,0,0.00034561097256439587,-0.00042283280353674186,0.001133001143152272,0.385,0.001111309961920724,20291
second_half,delta_exceed_a01,1,0.00015887733126187078,-0.0007723947248319397,0.001052358149945629,0.738,0.001303394910555406,20290
second_half,delta_exceed_a01,3,-0.0005488168489705812,-0.0014507956118662542,0.0002911004609186856,0.236,0.0012442114805606714,20288
second_half,delta_exceed_a01,6,-0.00048359546175176743,-0.0014322595416303974,0.00041567424003143195,0.301,0.0013199527011870209,20285
second_half,delta_exceed_a01,12,0.00016527758506307885,-0.0008927823994563708,0.0011840528978557352,0.76,0.0014834537837943613,20279
second_half,delta_exceed_a01,18,-0.00025303021072709247,-0.0011028195236552959,0.0005078164631931427,0.543,0.0011504542763203132,20273
second_half,delta_exceed_a01,24,0.00012901619967123714,-0.000701235197612951,0.0010083729743765328,0.773,0.0012211486942782029,20267
